,A1,A10,A6,E1,E19P,E19S,E19V,E20P,E20S,E20T,RES,S19,S1M,S1S,S20,S9M,STBY
2020-01-02 11:30:00,2.7996,32.626,5.0469,0.7148,298.5702,297.8633,45.0871,1173.5468,798.9385,3677.4826,0.7148,170.3283,170.3283,170.3283,170.3283,170.3283,170.3283
2020-01-02 12:00:00,2.7431,32.4284,5.042,0.7033,296.0575,299.6062,45.0089,1174.398,797.0099,3680.7608,0.7033,165.4988,165.4988,165.4988,165.4988,165.4988,165.4988
2020-01-02 12:30:00,2.7739,32.8601,5.0655,0.7042,296.8087,301.6564,45.0539,1179.1784,805.4304,3718.4558,0.7042,149.7499,149.7499,149.7499,149.7499,149.7499,149.7499
2020-01-02 13:00:00,2.7791,32.7744,4.8964,0.6955,298.8833,301.6135,45.1158,1185.9631,807.0746,3686.7325,0.6955,171.799,171.799,171.799,171.799,171.799,171.799
2020-01-02 13:30:00,2.76,31.9816,4.9063,0.6772,299.0365,303.9513,45.3359,1188.5665,809.0104,3682.951,0.6772,147.3637,147.3637,147.3637,147.3637,147.3637,147.3637
2020-01-02 14:00:00,2.7382,31.6338,5.0403,0.6593,295.002,304.1052,45.3033,1190.1978,812.1795,3675.1918,0.6593,168.1359,168.1359,168.1359,168.1359,168.1359,168.1359
2020-01-02 14:30:00,2.7031,31.0492,5.0649,0.6692,299.3263,305.4117,45.1593,1196.5735,800.2812,3657.0035,0.6692,167.7987,167.7987,167.7987,167.7987,167.7987,167.7987
2020-01-02 15:00:00,2.653,30.505,5.5185,0.6848,308.5413,306.6906,44.7074,1202.1018,789.722,3659.533,0.6848,197.1274,197.1274,197.1274,197.1274,197.1274,197.1274
2020-01-02 15:30:00,2.5814,29.8385,6.7481,0.7205,321.811,309.3109,44.6899,1207.0421,782.0936,3704.5126,0.7205,152.3761,152.3761,152.3761,152.3761,152.3761,152.3761
2020-01-02 16:00:00,2.5504,29.4147,8.0915,0.7806,329.1791,308.5021,44.8817,1210.8331,773.6522,3732.686,0.7806,169.6152,169.6152,169.6152,169.6152,169.6152,169.6152
2020-01-02 16:30:00,2.5017,28.7379,9.1354,0.8557,336.0508,306.2152,45.0408,1210.9983,759.763,3770.4902,0.8557,176.4116,176.4116,176.4116,176.4116,176.4116,176.4116
2020-01-02 17:00:00,2.4783,27.8794,9.7362,0.9749,339.9336,301.3584,45.9628,1211.4769,743.1466,3794.4114,0.9749,205.9845,205.9845,205.9845,205.9845,205.9845,205.9845
2020-01-02 17:30:00,2.4089,26.708,10.009,1.0623,338.3921,295.3918,45.5099,1197.1939,716.4889,3778.8604,1.0623,211.8081,211.8081,211.8081,211.8081,211.8081,211.8081
2020-01-02 18:00:00,2.2967,24.9812,9.9171,1.0781,332.6115,281.4445,44.6861,1176.0386,650.0452,3778.2903,1.0781,220.7511,220.7511,220.7511,220.7511,220.7511,220.7511
2020-01-02 18:30:00,2.2174,24.437,9.5104,1.1019,331.8186,276.461,44.1574,1166.6629,637.2463,3778.2371,1.1019,206.2639,206.2639,206.2639,206.2639,206.2639,206.2639
2020-01-02 19:00:00,2.1199,23.5975,9.4396,1.1042,329.9806,269.9797,43.4135,1152.8518,628.8553,3787.3415,1.1042,226.3468,226.3468,226.3468,226.3468,226.3468,226.3468
2020-01-02 19:30:00,2.0642,23.1902,9.4318,1.0928,327.7879,265.4075,42.8146,1151.7211,619.9418,3758.5456,1.0928,203.2643,203.2643,203.2643,203.2643,203.2643,203.2643
2020-01-02 20:00:00,2.0025,22.4889,9.2894,1.0748,322.3235,261.2004,42.1292,1139.261,610.1637,3807.237,1.0748,224.8657,224.8657,224.8657,224.8657,224.8657,224.8657
2020-01-02 20:30:00,1.9573,21.9611,8.8297,1.065,320.8393,255.6335,41.6642,1133.3159,604.1952,3802.12,1.065,205.7569,205.7569,205.7569,205.7569,205.7569,205.7569
2020-01-02 21:00:00,1.8862,21.1881,8.889,1.035,313.4696,249.1085,40.9312,1126.7483,589.9868,3793.5164,1.035,205.8931,205.8931,205.8931,205.8931,205.8931,205.8931
2020-01-02 21:30:00,1.8011,20.3971,8.7216,0.9889,311.3503,244.5998,40.266,1124.272,586.171,3786.5094,0.9889,219.5856,219.5856,219.5856,219.5856,219.5856,219.5856
2020-01-02 22:00:00,1.7214,19.447,8.3478,0.9223,304.726,238.5418,38.7613,1117.0759,577.6667,3767.4585,0.9223,218.8787,218.8787,218.8787,218.8787,218.8787,218.8787
2020-01-02 22:30:00,1.6757,18.7294,8.2362,0.8687,297.1966,235.8287,37.9633,1103.6263,570.109,3754.8076,0.8687,212.4275,212.4275,212.4275,212.4275,212.4275,212.4275
2020-01-02 23:00:00,1.6391,18.1135,8.1016,0.8138,293.7297,231.3216,37.06,1101.018,561.5734,3734.1255,0.8138,204.4883,204.4883,204.4883,204.4883,204.4883,204.4883
2020-01-02 23:30:00,1.6079,17.6529,8.1882,0.7544,290.7268,228.8252,36.5633,1097.9743,560.6431,3700.8686,0.7544,208.0776,208.0776,208.0776,208.0776,208.0776,208.0776
2020-01-03 00:00:00,1.5724,17.359,7.8748,0.7497,285.4727,225.7285,35.9035,1100.3965,553.2609,3794.8149,0.7497,210.1903,210.1903,210.1903,210.1903,210.1903,210.1903
2020-01-03 00:30:00,1.5644,17.1622,7.8749,0.72,284.1696,224.0026,35.2941,1096.3194,542.588,3777.1368,0.72,196.8822,196.8822,196.8822,196.8822,196.8822,196.8822
2020-01-03 01:00:00,1.5434,16.9746,7.8909,0.6832,282.2849,221.0246,34.8419,1083.6804,539.6583,3768.983,0.6832,132.8044,132.8044,132.8044,132.8044,132.8044,132.8044
2020-01-03 01:30:00,1.5432,16.8148,7.9034,0.6525,281.7508,219.3893,34.785,1080.4699,535.2113,3770.469,0.6525,91.5931,91.5931,91.5931,91.5931,91.5931,91.5931
2020-01-03 02:00:00,1.556,16.7905,7.9233,0.6498,277.8965,217.241,34.6312,1068.0183,534.9394,3741.7352,0.6498,95.219,95.219,95.219,95.219,95.219,95.219
2020-01-03 02:30:00,1.5582,16.7618,8.0,0.6397,279.6806,216.694,34.5798,1062.1705,531.4459,3739.512,0.6397,93.2313,93.2313,93.2313,93.2313,93.2313,93.2313
2020-01-03 03:00:00,1.5411,16.9381,8.5384,0.6354,279.5628,218.4612,34.8334,1064.542,535.3685,3756.8614,0.6354,112.7868,112.7868,112.7868,112.7868,112.7868,112.7868
